id	corpus	sentence	token	complexity	annotations
1_1_1	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	directivo	{'PL1': 0.3, 'PL2': 0.34375, 'PL3': 0.21875, 'overall': 0.28846153846153844}	{1: 3, 2: 2, 3: 2, 4: 2, 5: 2, 6: 2, 7: 4, 8: 2, 9: 3, 10: 3, 11: 2, 12: 3, 13: 2, 14: 1, 15: 2, 16: 1, 17: 3, 18: 3, 19: 3, 20: 2, 21: 2, 22: 1, 23: 1, 24: 3, 25: 1, 26: 1}
1_1_5	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	celebrado	{'PL1': 0.125, 'PL2': 0, 'PL3': 0.0625, 'overall': 0.0673076923076923}	{1: 2, 2: 1, 3: 1, 4: 1, 5: 2, 6: 1, 7: 1, 8: 1, 9: 1, 10: 2, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 4, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 2, 25: 1, 26: 1}
1_1_7	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	almuerzo	{'PL1': 0.15, 'PL2': 0, 'PL3': 0.03125, 'overall': 0.0673076923076923}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 1, 7: 1, 8: 2, 9: 1, 10: 1, 11: 1, 12: 1, 13: 2, 14: 2, 15: 1, 16: 1, 17: 3, 18: 1, 19: 1, 20: 2, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1}
1_1_9	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	Navidad	{'PL1': 0.05, 'PL2': 0, 'PL3': 0, 'overall': 0.019230769230769232}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 2, 16: 1, 17: 2, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1}
1_1_12	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	prensa	{'PL1': 0.2, 'PL2': 0.125, 'PL3': 0.03125, 'overall': 0.125}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 2, 8: 1, 9: 1, 10: 4, 11: 1, 12: 2, 13: 2, 14: 1, 15: 2, 16: 1, 17: 4, 18: 2, 19: 3, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1}
1_1_15	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	asegurado	{'PL1': 0.2, 'PL2': 0, 'PL3': 0.0625, 'overall': 0.09615384615384616}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 2, 7: 1, 8: 1, 9: 2, 10: 2, 11: 3, 12: 1, 13: 2, 14: 1, 15: 2, 16: 1, 17: 2, 18: 2, 19: 1, 20: 1, 21: 1, 22: 2, 23: 1, 24: 1, 25: 1, 26: 1}
1_1_18	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	teleco	{'PL1': 0.925, 'PL2': 0.75, 'PL3': 0.78125, 'overall': 0.8269230769230769}	{1: 4, 2: 3, 3: 3, 4: 4, 5: 5, 6: 4, 7: 5, 8: 5, 9: 5, 10: 4, 11: 5, 12: 5, 13: 5, 14: 4, 15: 5, 16: 4, 17: 5, 18: 4, 19: 4, 20: 5, 21: 4, 22: 3, 23: 4, 24: 5, 25: 5, 26: 3}
1_1_21	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	país	{'PL1': 0, 'PL2': 0, 'PL3': 0, 'overall': 0}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1}
1_1_24	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	mostrado	{'PL1': 0.275, 'PL2': 0.03125, 'PL3': 0.03125, 'overall': 0.125}	{1: 2, 2: 1, 3: 2, 4: 1, 5: 3, 6: 1, 7: 1, 8: 3, 9: 2, 10: 4, 11: 1, 12: 1, 13: 1, 14: 1, 15: 2, 16: 1, 17: 3, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1}
1_1_26	economics	El directivo , que ha celebrado un almuerzo de Navidad con la prensa , ha asegurado que ninguna teleco en el país le ha mostrado su preocupación .	preocupación	{'PL1': 0.275, 'PL2': 0.09375, 'PL3': 0.125, 'overall': 0.17307692307692307}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 2, 6: 1, 7: 2, 8: 2, 9: 1, 10: 3, 11: 1, 12: 1, 13: 1, 14: 3, 15: 3, 16: 1, 17: 4, 18: 2, 19: 2, 20: 3, 21: 2, 22: 1, 23: 1, 24: 1, 25: 1, 26: 2}
1_2_1	economics	La opa irá dirigida al resto de las acciones ( 12,3 millones de títulos ) y a los bonos convertibles que queden en circulación .	opa	{'PL1': 0.75, 'PL2': 0.96875, 'PL3': 0.75, 'overall': 0.8173076923076923}	{1: 4, 2: 5, 3: 5, 4: 5, 5: 5, 6: 4, 7: 5, 8: 5, 9: 5, 10: 1, 11: 5, 12: 5, 13: 5, 14: 3, 15: 5, 16: 4, 17: 2, 18: 5, 19: 5, 20: 4, 21: 5, 22: 5, 23: 2, 24: 5, 25: 2, 26: 5}
1_2_2	economics	La opa irá dirigida al resto de las acciones ( 12,3 millones de títulos ) y a los bonos convertibles que queden en circulación .	irá	{'PL1': 0, 'PL2': 0, 'PL3': 0, 'overall': 0}	{1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 1, 20: 1, 21: 1, 22: 1, 23: 1, 24: 1, 25: 1, 26: 1}
